record_id,compound_smiles,egfr_variant,standard_type,standard_value,standard_units,pchembl_value,source_id,extraction_confidence,extraction_method
zenodo_L858R_480,C=CC(=O)N1CCC[C@@H](n2nc(-c3cn(C)c4ccccc34)c3c(N)ncnc32)C1,L858R,IC50,2.0000000000000004,nM,8.698970004336019,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_206,C=CC(=O)N1CCC[C@@H](n2nc(-c3cnc4[nH]ccc4c3)c3c(N)ncnc32)C1,L858R,IC50,2.0000000000000004,nM,8.698970004336019,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_146,C=CC(=O)N1CCC[C@@H](n2nc(C#CC3CCCC3)c3c(N)ncnc32)C1,L858R,IC50,60.00000000000003,nM,7.221848749616356,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_490,C=CC(=O)N1CCC[C@@H](n2nc(C#CCC3CCCC3)c3c(N)ncnc32)C1,L858R,IC50,120.00000000000007,nM,6.920818753952375,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_189,C=CC(=O)N1CCC[C@@H](n2nc(C3CC3)c3c(N)ncnc32)C1,L858R,IC50,110.00000000000009,nM,6.958607314841775,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_227,C=CC(=O)N1CCC[C@@H](n2nc(Cc3ccccc3)c3c(N)ncnc32)C1,L858R,IC50,3.0000000000000013,nM,8.522878745280337,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_160,C=CC(=O)N1CCC[C@@H](n2nc(I)c3c(N)ncnc32)C1,L858R,IC50,20.000000000000004,nM,7.698970004336019,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_186,C=CC(=O)N1CCC[C@@H](n2ncc3c(N)ncnc32)C1,L858R,IC50,2499.9999999999995,nM,5.6020599913279625,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_462,C=CC(=O)N1CCC[C@@H]1CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,L858R,IC50,3.1000000000000028,nM,8.508638306165727,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_41,C=CC(=O)N1CCC[C@H]1CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,L858R,IC50,1.8999999999999995,nM,8.721246399047171,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_10,C=CC(=O)N1CC[C@@H](Nc2nc(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)cc23)C1,L858R,IC50,4.600000000000002,nM,8.337242168318426,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_228,C=CC(=O)N1CC[C@H](Nc2nc(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)cc23)C1,L858R,IC50,10.799999999999994,nM,7.966576244513051,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_258,C=CC(=O)NCCCSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,L858R,IC50,22.000000000000018,nM,7.657577319177793,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_362,C=CC(=O)NCCSc1nc(-c2ccc(F)c(C(F)(F)F)c2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,L858R,IC50,144.0000000000002,nM,6.84163750790475,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_510,C=CC(=O)NCCSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,L858R,IC50,2.200000000000002,nM,8.657577319177793,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_138,C=CC(=O)NCCSc1nc(-c2ccccc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,L858R,IC50,1.7000000000000006,nM,8.769551078621726,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_251,C=CC(=O)NCc1cccc(-c2cc3c(-c4[nH]c(-c5ccccc5)nc4-c4ccc(F)cc4)ccnc3[nH]2)c1,L858R,IC50,34.200000000000024,nM,7.465973893943865,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_118,C=CC(=O)NCc1cccc(-c2nc(-c3ccc(F)cc3)c(-c3ccnc4[nH]c(-c5ccccc5)cc34)[nH]2)c1,L858R,IC50,13.000000000000005,nM,7.886056647693163,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_241,C=CC(=O)NCc1cccc(-c2nc(C3CC3)c(-c3ccnc4[nH]c(-c5ccccc5)cc34)[nH]2)c1,L858R,IC50,3920.000000000003,nM,5.406713932979542,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_205,C=CC(=O)NCc1cccc(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)c1,L858R,IC50,4.900000000000002,nM,8.309803919971486,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_148,C=CC(=O)NCc1cn(Cc2cccc(Nc3cc(-c4[nH]c(SC)nc4-c4ccc(F)cc4)ccn3)c2)nn1,L858R,IC50,46.00000000000003,nM,7.337242168318426,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_434,C=CC(=O)N[C@@H]1CCCN(c2nc(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)cc23)C1,L858R,IC50,6.500000000000002,nM,8.187086643357144,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_74,C=CC(=O)N[C@@H]1CCN(c2nc(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)cc23)C1,L858R,IC50,4.7000000000000055,nM,8.327902142064282,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_259,C=CC(=O)N[C@H]1CCCN(c2nc(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)cc23)C1,L858R,IC50,14.200000000000008,nM,7.847711655616943,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_154,C=CC(=O)N[C@H]1CCC[C@@H](n2c(NC(=O)c3cccc(C(F)(F)F)c3)nc3cc(C)ccc32)C1,L858R,IC50,543.0000000000002,nM,6.265200170411153,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_356,C=CC(=O)N[C@H]1CCN(c2nc(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)cc23)C1,L858R,IC50,3.200000000000002,nM,8.494850021680094,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_296,C=CC(=O)Nc1cc(Nc2cc(-c3cn(C)c4ccccc34)nc(C)n2)c(OC)cc1N(C)CCN(C)C,L858R,IC50,46.50000000000006,nM,7.332547047110046,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_162,C=CC(=O)Nc1cc(Nc2cc(-c3cn(C)c4ccccc34)nc(OC)n2)c(OC)cc1N(C)CCN(C)C,L858R,IC50,123.39999999999985,nM,6.908684840302778,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_297,C=CC(=O)Nc1cc(Nc2cc(-c3cn(C)c4ccccc34)ncn2)c(OC)cc1N(C)CCN(C)C,L858R,IC50,2.200000000000002,nM,8.657577319177793,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_270,C=CC(=O)Nc1cc(Nc2cc(-c3cn4c5c(cccc35)CCC4)nc(OC)n2)c(OC)cc1N(C)CCN(C)C,L858R,IC50,181.09999999999988,nM,6.742081549685942,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_303,C=CC(=O)Nc1cc(Nc2cc(-c3cn4c5c(cccc35)CCC4)ncn2)c(OC)cc1N(C)CCN(C)C,L858R,IC50,1.2000000000000008,nM,8.920818753952375,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_418,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(-c4ccc(F)cc4)ccc23)c(OC)cc1N(C)CCN(C)C,L858R,IC50,8.500000000000002,nM,8.070581074285707,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_33,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(-c4ccc(N(C)C)cc4)ccc23)c(OC)cc1N(C)CCN(C)C,L858R,IC50,80.00000000000003,nM,7.096910013008056,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_195,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(-c4ccc5ccccc5c4)ccc23)c(OC)cc1N(C)CCN(C)C,L858R,IC50,25.000000000000043,nM,7.602059991327962,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_90,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(-c4cccc(C(F)(F)F)c4)ccc23)c(OC)cc1N(C)CCN(C)C,L858R,IC50,4.500000000000003,nM,8.346787486224656,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_500,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(-c4cccc(F)c4)ccc23)c(OC)cc1N(C)CCN(C)C,L858R,IC50,1.6000000000000008,nM,8.795880017344075,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_340,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(-c4cccc(N(C)C)c4)ccc23)c(OC)cc1N(C)CCN(C)C,L858R,IC50,10.0,nM,8.0,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_136,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(-c4cccnc4)ccc23)c(OC)cc1N(C)CCN(C)C,L858R,IC50,28.99999999999997,nM,7.537602002101044,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_34,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(-c4ccncc4)ccc23)c(OC)cc1N(C)CCN(C)C,L858R,IC50,14.000000000000005,nM,7.853871964321762,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_35,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(-c4cn(C)c5ccccc45)ccc23)c(OC)cc1N(C)CCN(C)C,L858R,IC50,1.5000000000000004,nM,8.823908740944319,gn_gnn_zenodo,high,web_scrape
