,SMILES_NS,pIC50
64090,C=CC(=O)N1CC2CN(c3nc(Nc4cnn(C)c4)c4ncn(C(C)C)c4n3)CC2C1,6.09
11625,C=CC(=O)N1CC2CN(c3nc(Nc4cnn(C)c4)c4ncn(C)c4n3)CC2C1,5.57
11632,C=CC(=O)N1CC2CN(c3nc(Nc4cnn(C)c4)c4ncn(CC)c4n3)CC2C1,6.29
31082,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,8.77
36530,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,6.22
10787,C=CC(=O)N1CCCC(c2nc(-c3ccc(Oc4ccccc4)cc3)c(C(N)=O)[nH]2)C1,6.92
29635,C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,7.18
47400,C=CC(=O)N1CCCCC(n2c(NC(=O)c3cccc(C(F)(F)F)c3)nc3cc(C)ccc32)C1,5.36
16778,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3cc(C)nc(C)c3)nc3cc(CN4CCN(C)C(=O)C4)cc(C)c32)C1,7.04
16758,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3cc(C)nc(C)c3)nc3cc(CN4CC[C@@H](OC)C4)cc(C)c32)C1,6.51
16760,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3cc(C)nc(C)c3)nc3cc(CN4CC[C@H](F)C4)cc(C)c32)C1,7.17
16773,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3cc(C)nc(C)c3)nc3cc(CN4CC[C@H](OC)C4)ccc32)C1,6.28
47390,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3cc(C)nc(C)c3)nc3ccc(OCCN4CCCC4)c(Cl)c32)C1,6.86
10665,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3cccc(C(F)(F)F)c3)nc3cccc(C(=O)OC)c32)C1,5.7
47413,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3cccc(C(F)(F)F)c3)nc3cccc(C)c32)C1,6.6
16763,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3cccc(F)c3F)nc3cc(CN4CC[C@@H](OC)C4)cc(C)c32)C1,6.63
16737,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3ccccc3)nc3cccc(CN(C)C)c32)C1,7.55
16729,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3ccccc3)nc3cccc(CN4CCC(O)C4)c32)C1,7.0
16738,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3ccccc3)nc3cccc(CN4CCS(=O)(=O)CC4)c32)C1,5.55
16752,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3ccnc(C)c3)nc3cc(CN4CC(F)C4)cc(C)c32)C1,7.34
16755,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3ccnc(C)c3)nc3cc(CN4CC(OC)C4)cc(C)c32)C1,7.42
16750,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3ccnc(C)c3)nc3cc(CN4CCC(F)(F)C4)cc(C)c32)C1,7.44
16736,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3ccnc(C)c3)nc3cc(CN4CCCC4)cc(C)c32)C1,7.19
16740,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3ccnc(C)c3)nc3cc(CN4CCCCC4)cc(C)c32)C1,7.14
16745,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3ccnc(C)c3)nc3cc(CN4CC[C@@H](F)C4)cc(C)c32)C1,7.28
16747,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3ccnc(C)c3)nc3cc(CN4CC[C@H](OC)C4)cc(C)c32)C1,7.32
47382,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3ccnnc3)nc3ccc(OC)c(Cl)c32)C1,6.82
16720,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3ccnnc3)nc3cccc(C)c32)C1,7.35
16717,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3ccnnc3)nc3cccc(OC(C)C)c32)C1,6.15
16715,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3ccnnc3)nc3cccc(OC)c32)C1,5.78
