ID,SMILES_NS,y1,y2,y3,y4,y5
29874263,C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,7.12,,,,
8859544,C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.3,,,,
24738580,C/C=C/C(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,9.34,,,,
8880923,C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.26,,,,
28052029,C/C=C/C(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N(C)CCN(C)C)cc4OC)nc32)c1,4.75,,,,
28052031,C/C=C/C(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(OCCN(C)C)cc4OC)nc32)c1,4.61,,,,
27217139,C/C=C/C(=O)Nc1cccc(C(F)(F)c2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2F)c1,4.6,,,,
27217140,C/C=C/C(=O)Nc1cccc(C(F)(F)c2nc(Nc3ccc(N4CCN(CC)CC4)cc3)ncc2F)c1,4.93,,,,
24405392,C/C=C/C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.25,,,,
9074489,C/C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.26,,,,
30489306,C1=CC2=C(Cc3nnc(Cc4nc5ccccc5[nH]4)o3)CNC2C=C1,4.06,,,,
30260458,C=C(C)C(=O)NC[C@H]1Cn2c(c(-c3cnc4ccccc4c3)c3c(N)ncnc32)C1=C,5.85,,,,
25692552,C=C(C)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1SCCCN(CC)CC,9.11,,,,
8862324,C=C(C)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7.36,,,,
13920033,C=C(C)C(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,8.92,,,,
13844886,C=C(C)C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,8.15,,,,
25692561,C=C(C)C(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Br)c3)c2c1,9.16,,,,
25692562,C=C(C)C(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,9.13,,,,
8862329,C=C(C)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.8,,,,
25692555,C=C(C)C(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,9.38,,,,
13996763,C=C(C)CN1C(=O)C(CN(C)C)S/C1=N/N=C1/SCC(=O)N1C,5.7,,,,
9972232,C=C(CN(C)C)C(=O)Nc1cc2c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c(C#N)cnc2cc1OCC,6.65,,,,
7321636,C=C(CN(C)C)C(=O)c1ccc(OCc2ccccc2)c(O)c1,6.17,,,,
7320481,C=C(CN(C)C)C(=O)c1ccc(OCc2ccccc2)cc1,6.74,,,,
7326521,C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)N(C)C)cc2)cc1,6.15,,,,
7315428,C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)O)c(O)c2)cc1,6.33,,,,
7313074,C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)O)cc2)cc1,6.64,,,,
4764427,C=C(CN(C)C)C(=O)c1ccccc1,5.25,,,,
9976374,C=C(CN1CCOCC1)C(=O)Nc1cc2c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c(C#N)cnc2cc1OCC,7.12,,,,
13852908,C=C(CN1CCOCC1)C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,8.19,,,,
9091683,C=C(CN1CCOCC1)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,11.3,,,,
11644386,C=C(CNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)C(=O)OC,8.9,,,,
26428509,C=C(Cl)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,5.12,,,,
26428511,C=C(Cl)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCC,5.0,,,,
26428510,C=C(Cl)C(=O)Nc1cc2c(Nc3cccc(C(F)(F)F)c3)ncnc2cc1OCC,4.57,,,,
26036191,C=C(Cl)C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,8.0,,,,
26428494,C=C(F)C(=O)Nc1cc2c(Nc3ccc(Br)c(Cl)c3F)ncnc2cc1OCCCN1CCOCC1,6.74,,,,
26428508,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,5.55,,,,
26428515,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCN(C)CC1,5.07,,,,
26428497,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,5.77,,,,
26428470,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,5.49,,,,
26428513,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@@H]1CCN(C)C1,5.44,,,,
26428502,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1OCC1CC1,4.89,,,,
26428501,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1OCC1CCC1,4.85,,,,
26428471,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1OCC1CCN(C)CC1,6.3,,,,
26432717,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1O[C@@H]1CCN(C)C1,4.7,,,,
26428503,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1O[C@H]1CCN(C)C1,4.82,,,,
26428499,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1O[C@H]1CCOC1,4.35,,,,
26428490,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(F)c3F)ncnc2cc1OCCCN1CCOCC1,5.38,,,,
26428489,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)cc3F)ncnc2cc1OCCCN1CCOCC1,5.19,,,,
26428512,C=C(F)C(=O)Nc1cc2c(Nc3ccc(OCC4CC4)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,6.1,,,,
